Canada - International students by country of citizenship (2015 ranking) and year in which study permit(s) became effective, 2006 - Q3 2016*,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of citizenship,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Q1-Q3 2016,,,,,,,,,,,,,,,
Switzerland,445.00,423.00,441.00,514.00,455.00,493.00,594.00,565.00,503.00,460.00,406.00,,,,,,,,,,,,,,,
Bahama Islands, The,253.00,225.00,234.00,219.00,206.00,232.00,258.00,282.00,311.00,443.00,624.00,,,,,,,,,,,,,,,
Kenya,364.00,347.00,325.00,391.00,363.00,326.00,314.00,329.00,371.00,442.00,546.00,,,,,,,,,,,,,,,
Ecuador,173.00,183.00,198.00,236.00,229.00,232.00,217.00,318.00,336.00,410.00,484.00,,,,,,,,,,,,,,,
Lebanon,563.00,652.00,578.00,556.00,458.00,453.00,379.00,395.00,350.00,407.00,411.00,,,,,,,,,,,,,,,
Benin, Peoples Republic of,145.00,179.00,140.00,243.00,218.00,235.00,290.00,310.00,352.00,405.00,328.00,,,,,,,,,,,,,,,
Mauritius,150.00,178.00,160.00,183.00,176.00,178.00,187.00,278.00,328.00,379.00,443.00,,,,,,,,,,,,,,,
Israel,373.00,390.00,355.00,350.00,342.00,346.00,338.00,331.00,381.00,377.00,375.00,,,,,,,,,,,,,,,
Mali, Republic of,167.00,186.00,175.00,211.00,234.00,254.00,263.00,295.00,358.00,373.00,347.00,,,,,,,,,,,,,,,
Burkina-Faso,145.00,160.00,179.00,232.00,213.00,262.00,313.00,303.00,334.00,359.00,303.00,,,,,,,,,,,,,,,
Haiti,329.00,372.00,510.00,718.00,634.00,663.00,505.00,471.00,379.00,350.00,364.00,,,,,,,,,,,,,,,
Chile,229.00,259.00,443.00,391.00,359.00,378.00,383.00,401.00,476.00,348.00,361.00,,,,,,,,,,,,,,,
Zimbabwe,175.00,223.00,163.00,221.00,189.00,255.00,198.00,213.00,245.00,334.00,435.00,,,,,,,,,,,,,,,
Tanzania, United Republic of,212.00,185.00,173.00,191.00,188.00,179.00,185.00,205.00,217.00,322.00,304.00,,,,,,,,,,,,,,,
Singapore,279.00,290.00,247.00,249.00,230.00,276.00,240.00,288.00,256.00,303.00,235.00,,,,,,,,,,,,,,,
Belgium,197.00,195.00,173.00,227.00,280.00,265.00,318.00,294.00,339.00,302.00,384.00,,,,,,,,,,,,,,,
Togo, Republic of,83.00,87.00,73.00,93.00,96.00,104.00,89.00,157.00,196.00,300.00,202.00,,,,,,,,,,,,,,,
Sri Lanka,330.00,417.00,343.00,375.00,332.00,354.00,337.00,279.00,279.00,294.00,340.00,,,,,,,,,,,,,,,
Peru,200.00,170.00,180.00,160.00,185.00,183.00,203.00,221.00,257.00,293.00,349.00,,,,,,,,,,,,,,,
South Africa, Republic of,427.00,425.00,420.00,430.00,331.00,392.00,412.00,343.00,293.00,290.00,261.00,,,,,,,,,,,,,,,
Jordan,282.00,326.00,308.00,369.00,347.00,318.00,348.00,327.00,304.00,283.00,342.00,,,,,,,,,,,,,,,
Netherlands, The,215.00,275.00,302.00,268.00,210.00,248.00,248.00,265.00,266.00,280.00,279.00,,,,,,,,,,,,,,,
Portugal,147.00,168.00,177.00,174.00,155.00,135.00,184.00,194.00,230.00,256.00,214.00,,,,,,,,,,,,,,,
Rwanda,82.00,97.00,129.00,130.00,125.00,119.00,119.00,142.00,168.00,228.00,286.00,,,,,,,,,,,,,,,
Ireland, Republic of,104.00,103.00,134.00,129.00,141.00,135.00,210.00,183.00,189.00,226.00,195.00,,,,,,,,,,,,,,,
Trinidad and Tobago, Republic of,383.00,413.00,377.00,441.00,353.00,271.00,286.00,293.00,273.00,212.00,197.00,,,,,,,,,,,,,,,
Syria,156.00,174.00,190.00,192.00,215.00,216.00,182.00,190.00,205.00,210.00,158.00,,,,,,,,,,,,,,,
Sweden,232.00,241.00,234.00,230.00,213.00,212.00,207.00,192.00,230.00,200.00,193.00,,,,,,,,,,,,,,,
Macau,94.00,112.00,107.00,136.00,141.00,142.00,147.00,147.00,188.00,190.00,172.00,,,,,,,,,,,,,,,
Barbados,116.00,154.00,144.00,111.00,121.00,167.00,151.00,147.00,157.00,186.00,219.00,,,,,,,,,,,,,,,
Guinea, Republic of,123.00,167.00,153.00,152.00,181.00,170.00,218.00,205.00,314.00,180.00,223.00,,,,,,,,,,,,,,,
El Salvador,71.00,82.00,100.00,132.00,138.00,148.00,118.00,123.00,131.00,175.00,189.00,,,,,,,,,,,,,,,
Poland,225.00,294.00,243.00,234.00,220.00,235.00,192.00,191.00,191.00,175.00,163.00,,,,,,,,,,,,,,,
Dominican Republic,30.00,47.00,50.00,64.00,67.00,101.00,118.00,146.00,144.00,170.00,199.00,,,,,,,,,,,,,,,
Congo, People's Republic of the,40.00,46.00,27.00,55.00,70.00,74.00,607.00,155.00,132.00,167.00,132.00,,,,,,,,,,,,,,,
Yemen,139.00,163.00,147.00,199.00,186.00,176.00,151.00,194.00,189.00,167.00,168.00,,,,,,,,,,,,,,,
Norway,183.00,185.00,180.00,204.00,177.00,167.00,195.00,174.00,177.00,166.00,151.00,,,,,,,,,,,,,,,
Uganda,120.00,146.00,134.00,144.00,116.00,96.00,138.00,141.00,161.00,162.00,218.00,,,,,,,,,,,,,,,
Argentina,146.00,128.00,110.00,142.00,130.00,142.00,151.00,151.00,151.00,152.00,143.00,,,,,,,,,,,,,,,
Ethiopia,129.00,124.00,117.00,180.00,167.00,155.00,123.00,137.00,150.00,150.00,169.00,,,,,,,,,,,,,,,
Nepal,96.00,107.00,83.00,151.00,143.00,121.00,108.00,100.00,142.00,150.00,174.00,,,,,,,,,,,,,,,
Burundi,91.00,100.00,94.00,120.00,124.00,112.00,104.00,125.00,127.00,138.00,201.00,,,,,,,,,,,,,,,
Kuwait,110.00,120.00,105.00,98.00,82.00,88.00,101.00,100.00,111.00,137.00,120.00,,,,,,,,,,,,,,,
Greece,65.00,66.00,53.00,58.00,70.00,85.00,108.00,132.00,146.00,130.00,139.00,,,,,,,,,,,,,,,
Slovak Republic,71.00,76.00,83.00,131.00,114.00,131.00,112.00,109.00,149.00,122.00,133.00,,,,,,,,,,,,,,,
Cambodia,137.00,148.00,116.00,127.00,102.00,137.00,187.00,186.00,136.00,121.00,90.00,,,,,,,,,,,,,,,
Romania,139.00,134.00,146.00,142.00,141.00,155.00,151.00,111.00,128.00,121.00,95.00,,,,,,,,,,,,,,,
Zambia,124.00,140.00,128.00,160.00,155.00,152.00,132.00,109.00,124.00,119.00,90.00,,,,,,,,,,,,,,,
Iraq,55.00,81.00,108.00,108.00,103.00,114.00,96.00,123.00,81.00,118.00,121.00,,,,,,,,,,,,,,,
Guyana,141.00,141.00,122.00,139.00,120.00,109.00,116.00,103.00,126.00,116.00,137.00,,,,,,,,,,,,,,,
Mongolia, People's Republic of,20.00,30.00,34.00,56.00,50.00,52.00,125.00,124.00,159.00,114.00,135.00,,,,,,,,,,,,,,,
Madagascar,68.00,61.00,105.00,97.00,104.00,113.00,112.00,113.00,108.00,114.00,139.00,,,,,,,,,,,,,,,
Albania,55.00,68.00,80.00,106.00,68.00,63.00,78.00,79.00,90.00,114.00,138.00,,,,,,,,,,,,,,,
Czech Republic,77.00,82.00,80.00,110.00,117.00,111.00,103.00,138.00,140.00,110.00,116.00,,,,,,,,,,,,,,,
Austria,151.00,147.00,158.00,178.00,172.00,178.00,177.00,129.00,141.00,108.00,132.00,,,,,,,,,,,,,,,
New Zealand,129.00,152.00,123.00,100.00,121.00,136.00,120.00,123.00,135.00,107.00,111.00,,,,,,,,,,,,,,,
Hungary,70.00,73.00,79.00,96.00,98.00,84.00,116.00,112.00,99.00,106.00,97.00,,,,,,,,,,,,,,,
Niger, Republic of the,80.00,79.00,74.00,74.00,75.00,75.00,92.00,86.00,104.00,105.00,97.00,,,,,,,,,,,,,,,
Panama, Republic of,46.00,52.00,48.00,64.00,70.00,74.00,72.00,94.00,130.00,101.00,89.00,,,,,,,,,,,,,,,
Denmark,120.00,130.00,95.00,102.00,92.00,145.00,134.00,90.00,79.00,99.00,95.00,,,,,,,,,,,,,,,
Finland,99.00,102.00,122.00,121.00,127.00,118.00,110.00,110.00,111.00,98.00,117.00,,,,,,,,,,,,,,,
Serbia, Republic of,0.00,6.00,54.00,59.00,95.00,74.00,73.00,92.00,113.00,98.00,88.00,,,,,,,,,,,,,,,
Afghanistan,24.00,43.00,50.00,110.00,95.00,108.00,109.00,101.00,89.00,93.00,84.00,,,,,,,,,,,,,,,
Croatia,22.00,29.00,27.00,32.00,42.00,39.00,59.00,55.00,71.00,90.00,68.00,,,,,,,,,,,,,,,
St. Lucia,103.00,99.00,94.00,146.00,163.00,163.00,187.00,137.00,90.00,87.00,76.00,,,,,,,,,,,,,,,
Oman,69.00,64.00,56.00,62.00,45.00,29.00,35.00,47.00,55.00,86.00,55.00,,,,,,,,,,,,,,,
Eritrea,50.00,57.00,59.00,96.00,71.00,85.00,49.00,95.00,66.00,83.00,77.00,,,,,,,,,,,,,,,
Palestinian Authority (Gaza/West Bank),54.00,71.00,83.00,90.00,80.00,82.00,86.00,72.00,83.00,81.00,89.00,,,,,,,,,,,,,,,
Costa Rica,56.00,51.00,56.00,64.00,72.00,58.00,61.00,71.00,72.00,79.00,72.00,,,,,,,,,,,,,,,
Cuba,39.00,35.00,38.00,39.00,53.00,44.00,53.00,68.00,76.00,78.00,62.00,,,,,,,,,,,,,,,
Honduras,42.00,36.00,41.00,41.00,63.00,70.00,76.00,83.00,82.00,78.00,115.00,,,,,,,,,,,,,,,
Azerbaijan,18.00,11.00,26.00,38.00,49.00,88.00,76.00,55.00,72.00,75.00,101.00,,,,,,,,,,,,,,,
Gabon Republic,226.00,219.00,180.00,176.00,154.00,120.00,90.00,108.00,95.00,74.00,60.00,,,,,,,,,,,,,,,
Stateless,140.00,158.00,138.00,184.00,130.00,97.00,75.00,79.00,84.00,74.00,63.00,,,,,,,,,,,,,,,
Sudan, Democratic Republic of,51.00,41.00,37.00,46.00,37.00,41.00,46.00,54.00,49.00,72.00,77.00,,,,,,,,,,,,,,,
Angola,27.00,22.00,60.00,61.00,32.00,65.00,48.00,77.00,123.00,65.00,70.00,,,,,,,,,,,,,,,
Antigua and Barbuda,49.00,39.00,52.00,47.00,35.00,51.00,50.00,44.00,40.00,63.00,72.00,,,,,,,,,,,,,,,
Belize,14.00,33.00,35.00,37.00,42.00,46.00,66.00,49.00,46.00,60.00,81.00,,,,,,,,,,,,,,,
Chad, Republic of,27.00,37.00,37.00,39.00,29.00,37.00,39.00,49.00,57.00,60.00,63.00,,,,,,,,,,,,,,,
